,,,," $1,084,159 ",,,,,
,State,County, # of Mailers ,Spend,,,,,
,Ohio,Shelby," 1,055 ", $699 ,,,,,
,California,Tuolumne," 1,055 ", $699 ,,,,,
,Missouri,St. Francois," 1,046 ", $693 ,,,,,
,Tennessee,Lake," 1,045 ", $693 ,,,,,
,Georgia,Jackson," 1,045 ", $693 ,,,,,
,Missouri,Scott," 1,039 ", $689 ,,,,,
,Tennessee,Giles," 1,038 ", $688 ,,,,,
,Louisiana,Orleans," 1,037 ", $688 ,,,,,
,Ohio,Preble," 1,030 ", $683 ,,,,,
,North Carolina,Surry," 1,019 ", $676 ,,,,,
,Georgia,Habersham," 1,017 ", $674 ,,,,,
,New Mexico,Eddy," 1,014 ", $672 ,,,,,
,Alabama,Coosa," 1,008 ", $668 ,,,,,
,Nebraska,Scotts Bluff," 1,005 ", $666 ,,,,,
,Iowa,Boone, 998 , $662 ,,,,,
,Ohio,Franklin, 993 , $658 ,,,,,
,Tennessee,Van Buren, 988 , $655 ,,,,,
,Ohio,Defiance, 988 , $655 ,,,,,
,Texas,Coryell, 987 , $654 ,,,,,
,Georgia,Crisp, 976 , $647 ,,,,,
,Iowa,Mahaska, 975 , $646 ,,,,,
,North Carolina,Northampton, 973 , $645 ,,,,,
,Kentucky,Simpson, 969 , $642 ,,,,,
,Michigan,Bay, 966 , $640 ,,,,,
,Wisconsin,Manitowoc, 963 , $638 ,,,,,
,Mississippi,Harrison, 959 , $636 ,,,,,
,South Carolina,Spartanburg, 951 , $631 ,,,,,
,Ohio,Clinton, 950 , $630 ,,,,,
,Maryland,Washington, 950 , $630 ,,,,,
,Alabama,Pike, 946 , $627 ,,,,,
,Ohio,Van Wert, 943 , $625 ,,,,,
,Ohio,Champaign, 943 , $625 ,,,,,
,Georgia,Dougherty, 938 , $622 ,,,,,
,Indiana,Wabash, 936 , $621 ,,,,,
,Tennessee,Cannon, 935 , $620 ,,,,,
,New York,Delaware, 934 , $619 ,,,,,
,Kentucky,Lee, 929 , $616 ,,,,,
,Vermont,Windsor, 927 , $615 ,,,,,
,Georgia,Decatur, 921 , $611 ,,,,,
,Tennessee,Meigs, 911 , $604 ,,,,,
,Tennessee,Hardin, 907 , $601 ,,,,,
,Tennessee,Hardeman, 906 , $601 ,,,,,
,Ohio,Gallia, 891 , $591 ,,,,,
,New York,Orange, 889 , $589 ,,,,,
,North Carolina,Brunswick, 882 , $585 ,,,,,
,Ohio,Pickaway, 882 , $585 ,,,,,
,Oregon,Deschutes, 877 , $581 ,,,,,
,Wisconsin,Racine, 876 , $581 ,,,,,
,Oklahoma,Rogers, 875 , $580 ,,,,,
,Pennsylvania,Venango, 874 , $579 ,,,,,
,North Carolina,Beaufort, 872 , $578 ,,,,,
,Michigan,Calhoun, 870 , $577 ,,,,,
,Connecticut,Litchfield, 870 , $577 ,,,,,
,Pennsylvania,Butler, 870 , $577 ,,,,,
